Time,Displacement,Force,Cycle count
(s),(mm),(N),
"0.0000","0.00000","0.06948","0.0000"
"0.0200","0.02465","0.09061","0.0000"
"0.0400","0.10801","0.15141","0.0000"
"0.0600","0.21131","0.13511","0.0000"
"0.0800","0.31201","0.09784","0.0000"
"0.1000","0.40664","0.08638","0.0000"
"0.1200","0.49697","0.08589","0.0000"
"0.1400","0.58469","0.10170","0.0000"
"0.1600","0.67071","0.10929","0.0000"
"0.1800","0.75571","0.11810","0.0000"
"0.2000","0.84003","0.12775","0.0000"
"0.2200","0.92401","0.13135","0.0000"
"0.2400","1.00770","0.13963","0.0000"
"0.2600","1.09123","0.14718","0.0000"
"0.2800","1.17476","0.15171","0.0000"
"0.3000","1.25811","0.15830","0.0000"
"0.3200","1.34153","0.16390","0.0000"
"0.3400","1.42494","0.16706","0.0000"
"0.3600","1.50830","0.17824","0.0000"
"0.3800","1.59171","0.18719","0.0000"
"0.4000","1.67507","0.19809","0.0000"
"0.4200","1.75831","0.20783","0.0000"
"0.4400","1.84167","0.21649","0.0000"
"0.4600","1.92502","0.22383","0.0000"
"0.4800","2.00827","0.23118","0.0000"
"0.5000","2.09157","0.23946","0.0000"
"0.5200","2.17492","0.24533","0.0000"
"0.5400","2.25828","0.25354","0.0000"
"0.5600","2.34164","0.26073","0.0000"
"0.5800","2.42494","0.26807","0.0000"
"0.6000","2.50829","0.27963","0.0000"
"0.6200","2.59165","0.28876","0.0000"
"0.6400","2.67501","0.29656","0.0000"
"0.6600","2.75836","0.29991","0.0000"
"0.6800","2.84172","0.30434","0.0000"
"0.7000","2.92508","0.31401","0.0000"
"0.7200","3.00832","0.32240","0.0000"
"0.7400","3.09168","0.33128","0.0000"
"0.7600","3.17498","0.34115","0.0000"
"0.7800","3.25828","0.34873","0.0000"
"0.8000","3.34163","0.35430","0.0000"
"0.8200","3.42499","0.35944","0.0000"
"0.8400","3.50829","0.36396","0.0000"
"0.8600","3.59165","0.36949","0.0000"
"0.8800","3.67506","0.37400","0.0000"
"0.9000","3.75836","0.37842","0.0000"
"0.9200","3.84166","0.38385","0.0000"
"0.9400","3.92507","0.39119","0.0000"
"0.9600","4.00832","0.39674","0.0000"
"0.9800","4.09162","0.40105","0.0000"
"1.0000","4.17497","0.40314","0.0000"
"1.0200","4.25827","0.40662","0.0000"
"1.0400","4.34163","0.41191","0.0000"
"1.0600","4.42499","0.41859","0.0000"
"1.0800","4.50829","0.42525","0.0000"
"1.1000","4.59170","0.42891","0.0000"
"1.1200","4.67506","0.43349","0.0000"
"1.1400","4.75841","0.43786","0.0000"
"1.1600","4.84177","0.44330","0.0000"
"1.1800","4.92513","0.44844","0.0000"
"1.2000","5.00837","0.45284","0.0000"
"1.2200","5.09173","0.45646","0.0000"
"1.2400","5.17497","0.46059","0.0000"
"1.2600","5.25816","0.46511","0.0000"
"1.2800","5.34157","0.46980","0.0000"
"1.3000","5.42493","0.47287","0.0000"
"1.3200","5.50828","0.47639","0.0000"
"1.3400","5.59164","0.48121","0.0000"
"1.3600","5.67500","0.48305","0.0000"
"1.3800","5.75835","0.48592","0.0000"
"1.4000","5.84171","0.49285","0.0000"
"1.4200","5.92507","0.49442","0.0000"
"1.4400","6.00837","0.49873","0.0000"
"1.4600","6.09161","0.50280","0.0000"
"1.4800","6.17497","0.50550","0.0000"
"1.5000","6.25832","0.51063","0.0000"
"1.5200","6.34162","0.51278","0.0000"
"1.5400","6.42498","0.51500","0.0000"
"1.5600","6.50828","0.51925","0.0000"
"1.5800","6.59164","0.52309","0.0000"
"1.6000","6.67499","0.52365","0.0000"
"1.6200","6.75829","0.52945","0.0000"
"1.6400","6.84165","0.53267","0.0000"
"1.6600","6.92506","0.53473","0.0000"
"1.6800","7.00836","0.53928","0.0000"
"1.7000","7.09166","0.53979","0.0000"
"1.7200","7.17502","0.54356","0.0000"
"1.7400","7.25832","0.54870","0.0000"
"1.7600","7.34162","0.55107","0.0000"
"1.7800","7.42498","0.55218","0.0000"
"1.8000","7.50828","0.55542","0.0000"
"1.8200","7.59163","0.55687","0.0000"
"1.8400","7.67499","0.56007","0.0000"
"1.8600","7.75829","0.56506","0.0000"
"1.8800","7.84165","0.56715","0.0000"
"1.9000","7.92500","0.56819","0.0000"
"1.9200","8.00830","0.57052","0.0000"
"1.9400","8.09166","0.57328","0.0000"
"1.9600","8.17502","0.57440","0.0000"
"1.9800","8.25832","0.57696","0.0000"
"2.0000","8.34156","0.57691","0.0000"
"2.0200","8.42497","0.58140","0.0000"
"2.0400","8.50827","0.58505","0.0000"
"2.0600","8.59163","0.58717","0.0000"
"2.0800","8.67504","0.58969","0.0000"
"2.1000","8.75834","0.59265","0.0000"
"2.1200","8.84170","0.59424","0.0000"
"2.1400","8.92506","0.59534","0.0000"
"2.1600","9.00830","0.59870","0.0000"
"2.1800","9.09171","0.60213","0.0000"
"2.2000","9.17507","0.60592","0.0000"
"2.2200","9.25837","0.60587","0.0000"
"2.2400","9.34167","0.60661","0.0000"
"2.2600","9.42503","0.60892","0.0000"
"2.2800","9.50833","0.61053","0.0000"
"2.3000","9.59168","0.61317","0.0000"
"2.3200","9.67498","0.61492","0.0000"
"2.3400","9.75834","0.61837","0.0000"
"2.3600","9.84164","0.62089","0.0000"
"2.3800","9.92499","0.62160","0.0000"
"2.4000","10.00824","0.62329","0.0000"
"2.4200","10.09165","0.62498","0.0000"
"2.4400","10.17501","0.62686","0.0000"
"2.4600","10.25837","0.63001","0.0000"
"2.4800","10.34167","0.63214","0.0000"
"2.5000","10.42502","0.63452","0.0000"
"2.5200","10.50832","0.63610","0.0000"
"2.5400","10.59168","0.63708","0.0000"
"2.5600","10.67504","0.63990","0.0000"
"2.5800","10.75828","0.63987","0.0000"
"2.6000","10.84164","0.64334","0.0000"
"2.6200","10.92494","0.64676","0.0000"
"2.6400","11.00829","0.64557","0.0000"
"2.6600","11.09165","0.64843","0.0000"
"2.6800","11.17501","0.64949","0.0000"
"2.7000","11.25836","0.65095","0.0000"
"2.7200","11.34172","0.65388","0.0000"
"2.7400","11.42508","0.65505","0.0000"
"2.7600","11.50832","0.65583","0.0000"
"2.7800","11.59168","0.65971","0.0000"
"2.8000","11.67503","0.66092","0.0000"
"2.8200","11.75828","0.66161","0.0000"
"2.8400","11.84163","0.66415","0.0000"
"2.8600","11.92499","0.66422","0.0000"
"2.8800","12.00829","0.66657","0.0000"
"2.9000","12.09159","0.66864","0.0000"
"2.9200","12.17500","0.67018","0.0000"
"2.9400","12.25836","0.67175","0.0000"
"2.9600","12.34166","0.67228","0.0000"
"2.9800","12.42502","0.67433","0.0000"
"3.0000","12.50832","0.67859","0.0000"
"3.0200","12.59167","0.67852","0.0000"
"3.0400","12.67503","0.67816","0.0000"
"3.0600","12.75833","0.68047","0.0000"
"3.0800","12.84169","0.68102","0.0000"
"3.1000","12.92504","0.68291","0.0000"
"3.1200","13.00834","0.68231","0.0000"
"3.1400","13.09170","0.68242","0.0000"
"3.1600","13.17500","0.68358","0.0000"
"3.1800","13.25836","0.68285","0.0000"
"3.2000","13.34171","0.68443","0.0000"
"3.2200","13.42507","0.68526","0.0000"
"3.2400","13.50837","0.68662","0.0000"
"3.2600","13.59173","0.68781","0.0000"
"3.2800","13.67503","0.68911","0.0000"
"3.3000","13.75833","0.68949","0.0000"
"3.3200","13.84163","0.68971","0.0000"
"3.3400","13.92498","0.69128","0.0000"
"3.3600","14.00828","0.69344","0.0000"
"3.3800","14.09158","0.69345","0.0000"
"3.4000","14.17494","0.69551","0.0000"
"3.4200","14.25830","0.69714","0.0000"
"3.4400","14.34165","0.69862","0.0000"
"3.4600","14.42501","0.70247","0.0000"
"3.4800","14.50837","0.70280","0.0000"
"3.5000","14.59172","0.70396","0.0000"
"3.5200","14.67502","0.70403","0.0000"
"3.5400","14.75838","0.70417","0.0000"
"3.5600","14.84168","0.70643","0.0000"
"3.5800","14.92504","0.70801","0.0000"
"3.6000","15.00834","0.70942","0.0000"
"3.6200","15.09169","0.71165","0.0000"
"3.6400","15.17499","0.71410","0.0000"
"3.6600","15.25829","0.71403","0.0000"
"3.6800","15.34171","0.71627","0.0000"
"3.7000","15.42512","0.71804","0.0000"
"3.7200","15.50842","0.71656","0.0000"
"3.7400","15.59172","0.71843","0.0000"
"3.7600","15.67508","0.72048","0.0000"
"3.7800","15.75832","0.72218","0.0000"
"3.8000","15.84156","0.72353","0.0000"
"3.8200","15.92492","0.72665","0.0000"
"3.8400","16.00822","0.72831","0.0000"
"3.8600","16.09158","0.72778","0.0000"
"3.8800","16.17499","0.72836","0.0000"
"3.9000","16.25829","0.73090","0.0000"
"3.9200","16.34170","0.73369","0.0000"
"3.9400","16.42506","0.73321","0.0000"
"3.9600","16.50836","0.73444","0.0000"
"3.9800","16.59177","0.73658","0.0000"
"4.0000","16.67507","0.73780","0.0000"
"4.0200","16.75832","0.73797","0.0000"
"4.0400","16.84167","0.73990","0.0000"
"4.0600","16.92503","0.74172","0.0000"
"4.0800","17.00833","0.74155","0.0000"
"4.1000","17.09169","0.74288","0.0000"
"4.1200","17.17499","0.74221","0.0000"
"4.1400","17.25829","0.74405","0.0000"
"4.1600","17.34164","0.74499","0.0000"
"4.1800","17.42500","0.74694","0.0000"
"4.2000","17.50836","0.74987","0.0000"
"4.2200","17.59171","0.75155","0.0000"
"4.2400","17.67501","0.75119","0.0000"
"4.2600","17.75831","0.75179","0.0000"
"4.2800","17.84167","0.75299","0.0000"
"4.3000","17.92497","0.75391","0.0000"
"4.3200","18.00827","0.75617","0.0000"
"4.3400","18.09163","0.75614","0.0000"
"4.3600","18.17493","0.75773","0.0000"
"4.3800","18.25828","0.75991","0.0000"
"4.4000","18.34164","0.76156","0.0000"
"4.4200","18.42500","0.76252","0.0000"
"4.4400","18.50830","0.76366","0.0000"
"4.4600","18.59165","0.76511","0.0000"
"4.4800","18.67506","0.76715","0.0000"
"4.5000","18.75837","0.76648","0.0000"
"4.5200","18.84172","0.76679","0.0000"
"4.5400","18.92502","0.76789","0.0000"
"4.5600","19.00832","0.76862","0.0000"
"4.5800","19.09162","0.77255","0.0000"
"4.6000","19.17498","0.77392","0.0000"
"4.6200","19.25834","0.77382","0.0000"
"4.6400","19.34169","0.77479","0.0000"
"4.6600","19.42499","0.77661","0.0000"
"4.6800","19.50835","0.77819","0.0000"
"4.7000","19.59165","0.77921","0.0000"
"4.7200","19.67500","0.77976","0.0000"
"4.7400","19.75830","0.77947","0.0000"
"4.7600","19.84172","0.78001","0.0000"
"4.7800","19.92502","0.78171","0.0000"
"4.8000","20.00826","0.78093","0.0000"
"4.8200","20.09162","0.78239","0.0000"
